DEVICE_TYPE,IMPRESSIONS,CLICKS,CONVERSIONS,CONVERSION_VALUE,MONEY,CTR,CPC,CR,ROAS,PNO (%)
Mobile,36837298,156171,7002,3198518.13,643593.66,0.004239480322362405,4.121083043586838,0.04483546881303187,4.9697788042225275,20.1216198827674
Desktop,18253958,49500,3165,1560540.27,275646.37,0.0027117406537256195,5.568613535353535,0.06393939393939393,5.661385165347906,17.66352174942592
Tablet,2877819,15756,651,160708.07,66683.62,0.005474979489676036,4.232268342218837,0.04131759329779132,2.4100081849185755,41.49363501160831
Tv,29715,93,7,0.0,368.27,0.0031297324583543663,3.959892473118279,0.07526881720430108,0.0,
Console,975,7,0,0.0,59.3,0.0071794871794871795,8.471428571428572,0.0,0.0,
SmartWatch,155,2,0,0.0,18.36,0.012903225806451613,9.18,0.0,0.0,
MediaHub,1755,3,1,0.0,9.870000000000001,0.0017094017094017094,3.2900000000000005,0.3333333333333333,0.0,
Neznámý,1183,2,1,0.0,7.0,0.0016906170752324597,3.5,0.5,0.0,
EReader,117,0,0,0.0,0.39,0.0,inf,,0.0,
